Start Date,Start Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,Stop Date,Stop Time,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Trip_Duration_mins,Trip_Duration_secs,Bike ID,User Type,Birth Year,Gender
2015-10-01,00:16,3212,Christ Hospital,40.734785818,-74.050443636,2015-10-01,00:22,3207,Oakland Ave,40.7376037,-74.05247829999999,6,376,24470,Subscriber,1960,1
2015-10-01,00:27,3207,Oakland Ave,40.7376037,-74.05247829999999,2015-10-01,00:39,3212,Christ Hospital,40.734785818,-74.050443636,12,739,24481,Subscriber,1960,1
2015-10-01,00:32,3193,Lincoln Park,40.7246050998869,-74.07840594649316,2015-10-01,01:18,3193,Lincoln Park,40.7246050998869,-74.07840594649316,45,2714,24628,Subscriber,1983,1
2015-10-01,00:34,3199,Newport Pkwy,40.7287448,-74.03210820000001,2015-10-01,00:39,3187,Warren St,40.721123600000006,-74.03805095,5,275,24613,Subscriber,1975,1
2015-10-01,00:40,3183,Exchange Place,40.7162469,-74.0334588,2015-10-01,00:49,3192,Liberty Light Rail,40.7112423,-74.0557013,9,561,24668,Customer,1984,0
2015-10-01,00:41,3198,Heights Elevator,40.74871594538023,-74.04044330120088,2015-10-01,00:47,3215,Central Ave,40.7467299,-74.0492509,6,365,24644,Customer,1984,0
2015-10-01,00:43,3206,Hilltop,40.7311689,-74.0575736,2015-10-01,00:46,3195,Sip Ave,40.730742625306576,-74.06378388404845,2,139,24482,Subscriber,1988,1
2015-10-01,01:10,3197,North St,40.752559000000005,-74.044725,2015-10-01,01:31,3215,Central Ave,40.7467299,-74.0492509,22,1299,24550,Customer,1984,0
2015-10-01,02:01,3213,Van Vorst Park,40.71848892,-74.047726625,2015-10-01,02:12,3190,Garfield Ave Station,40.7104670233797,-74.07003879547119,11,647,24650,Subscriber,1988,1
2015-10-01,04:43,3194,McGinley Square,40.7253399253558,-74.06762212514876,2015-10-01,04:47,3195,Sip Ave,40.730742625306576,-74.06378388404845,4,233,24584,Subscriber,1978,2
2015-10-01,04:43,3215,Central Ave,40.7467299,-74.0492509,2015-10-01,04:49,3197,North St,40.752559000000005,-74.044725,6,352,24550,Customer,1984,0
2015-10-01,05:31,3193,Lincoln Park,40.7246050998869,-74.07840594649316,2015-10-01,05:48,3193,Lincoln Park,40.7246050998869,-74.07840594649316,17,1013,24471,Subscriber,1980,1
2015-10-01,05:41,3196,Riverview Park,40.7443187,-74.04399090000001,2015-10-01,05:51,3202,Newport PATH,40.7272235,-74.03375890000001,10,592,24406,Subscriber,1983,2
2015-10-01,05:44,3209,Brunswick St,40.7241765,-74.05065640000001,2015-10-01,05:49,3186,Grove St PATH,40.71958611647166,-74.0431174635887,5,308,24723,Subscriber,1980,1
